"lang"
{
  "Language"		"English"
"DOTA_Tooltip_Ability_train_ice_troll_witch_doctor"                 "Train Ice Troll Witch Doctor"
"DOTA_Tooltip_Ability_train_ice_troll_witch_doctor_Description"     "<h1>Ice Troll Witch Doctor</h1>Attack: Magic (370 range)<br>Armor: Light\n\n<h1>Abilities</h1>- Frost Attack (10%% 10sec 20dps)<br>- Frost Armor (+7)<br>- Chilling Attack"

"DOTA_Tooltip_Ability_build_ice_claws"                 "Build Ice Claws"
"DOTA_Tooltip_Ability_build_ice_claws_Lore"            "Upgrades: 1"
"DOTA_Tooltip_Ability_build_ice_claws_Description"     "<font color='#62bc25'>Unit Trainer</font>\n<h1>Wendigo</h1>Attack: Pierce (melee)<br>Armor: Medium\n\n<h1>Abilities</h1>- Pulverize (25%%, 80dmg)"
"DOTA_Tooltip_Ability_train_wendigo"                 "Train Wendigo"
"DOTA_Tooltip_Ability_train_wendigo_Description"     "<h1>Wendigo</h1>Attack: Pierce (melee)<br>Armor: Medium\n\n<h1>Abilities</h1>- Pulverize (25%%, 80dmg)"

"DOTA_Tooltip_Ability_upgrade_frost_claws"                 "Upgrade Frost Claws"
"DOTA_Tooltip_Ability_upgrade_frost_claws_Description"     "<font color='#62bc25'>Unit Trainer</font>\n<h1>Ancient Wendigo</h1>Attack: Pierce (melee)<br>Armor: Medium\n\n<h1>Abilities</h1>- Pulverize (30%%, 140dmg)<br>- Howl (-4 armor, -30 dmg)"
"DOTA_Tooltip_Ability_train_ancient_wendigo"                 "Train Ancient Wendigo"
"DOTA_Tooltip_Ability_train_ancient_wendigo_Description"     "<h1>Ancient Wendigo</h1>Attack: Pierce (melee)<br>Armor: Medium\n\n<h1>Abilities</h1>- Pulverize (30%%, 140dmg)<br>- Howl (-4 armor, -30 dmg)"

"DOTA_Tooltip_Ability_build_azure_nest"                 "Build Azure Nest"
"DOTA_Tooltip_Ability_build_azure_nest_Description"     "<font color='#62bc25'>Unit Trainer</font>\n<h1>Azure Drake</h1>Attack: Chaos (250 range)<br>Armor: Heavy\n\n<h1>Abilities</h1>- Splash Damage<br>- Chilling Attack<br>- Flying"
"DOTA_Tooltip_Ability_train_azure_drake"                 "Train Azure Drake"
"DOTA_Tooltip_Ability_train_azure_drake_Description"     "<h1>Azure Drake</h1>Attack: Chaos (250 range)<br>Armor: Heavy\n\n<h1>Abilities</h1>- Splash Damage<br>- Chilling Attack<br>- Flying"

"DOTA_Tooltip_Ability_build_crystal_palace"                 "Build Crystal Palace"
"DOTA_Tooltip_Ability_build_crystal_palace_Description"     "<font color='#62bc25'>Unit Trainer</font>\n<h1>Ice Queen</h1>Attack: Chaos (450 range)<br>Armor: Unarmored\n\n<h1>Abilities</h1>- Frost Nova (150 dmg)<br>- Frost Attack (20%%, 12.5sec, 30dps)<br>- Crystal Aura (+0.5 mana/sec)"
"DOTA_Tooltip_Ability_train_ice_queen"                 "Train Ice Queen"
"DOTA_Tooltip_Ability_train_ice_queen_Description"     "<h1>Ice Queen</h1>Attack: Chaos (450 range)<br>Armor: Unarmored\n\n<h1>Abilities</h1>- Frost Nova (150 dmg)<br>- Frost Attack (20%%, 12.5sec, 30dps)<br>- Crystal Aura (+1 mana/sec)"


"DOTA_Tooltip_Ability_item_build_frost_launcher"              "Build Frost Launcher"
"DOTA_Tooltip_Ability_item_build_frost_launcher_Description"  "<font color='#FFBF00'>Support Building</font>\nAbility: Frost Bolt\nLaunches a Frost Bolt at a random enemy structure. On impact this bolt freezes the structure, freezing cooldowns and removing base mana regen."
"DOTA_Tooltip_Ability_upgrade_greater_frost_launcher"              "Upgrade Greater Frost Launcher"
"DOTA_Tooltip_Ability_upgrade_greater_frost_launcher_Description"  "<font color='#FFBF00'>Support Building</font>\nAbility: Greater Frost Bolts\nLaunches a frost bolts at random enemy structures. On impact, the bolts freezes the structures, freezing cooldowns and removing base mana regen."
"DOTA_Tooltip_Ability_item_build_chilling_mushroom"              "Build Chilling Mushroom"
"DOTA_Tooltip_Ability_item_build_chilling_mushroom_Description"  "<font color='#C40000'>Killing Building</font>\nAbility: Freezing Blast\nFreezes an air unit, stunning it for 5 seconds and dealing 250 damage"
"DOTA_Tooltip_Ability_item_build_icy_tower"              "Build Icy Tower"
"DOTA_Tooltip_Ability_item_build_icy_tower_Description"  "<font color='#a3098c'>Tower</font>\nAttack: Normal (750 range)\nArmor: Fortified\n\n<h1>Abilities</h1>- Splash Damage\n- Chilling Attack"
"DOTA_Tooltip_Ability_item_build_world_freezer"              "Build World Freezer"
"DOTA_Tooltip_Ability_item_build_world_freezer_Description"  "<font color='#C40000'>Killing Building</font>\nAbility: Onset of Winter\nSends out three frost orbs that fly in a random direction, attacking random enemies for 115dps spell damage, stunning random air units, freezing random ground units and chilling each unit near them."


// Abilities


"DOTA_Tooltip_Ability_onset_of_winter"                "Onset Of Winter"
"DOTA_Tooltip_Ability_onset_of_winter_Description"    "Sends out three frost orbs that fly in a random direction, attacking random enemies for %dps% dps spell damage, stunning random air units freezing random ground units and chilling each unit near them."
"DOTA_Tooltip_Ability_north_chilling_attack"                "Icy Tower Chilling Attack"
"DOTA_Tooltip_Ability_north_chilling_attack_Description"    "Attacks cause the target to be chilled."
"DOTA_Tooltip_Ability_freezing_blast"                "Freezing Blast"
"DOTA_Tooltip_Ability_freezing_blast_Description"    "Freezes a visible air unit, stunning it for %duration% seconds and dealing %damage% damage"
"DOTA_Tooltip_Ability_frost_bolt"                "Frost Bolt"
"DOTA_Tooltip_Ability_frost_bolt_Description"    "Launches a frost Bolt at a random enemy structure. On impact, the bolt freezes the structures for %duration% seconds, silencing them."
"DOTA_Tooltip_Ability_greater_frost_bolt"                "Greater Frost Bolt"
"DOTA_Tooltip_Ability_greater_frost_bolt_Description"    "Launches %targets% frost bolts at random enemy structures. On impact, the bolts freezes the structure in %radius% aoe for %duration% seconds, silencing them."
"DOTA_Tooltip_Ability_wolf_critical_strike"                "Critical Strike"
"DOTA_Tooltip_Ability_wolf_critical_strike_crit_chance"    "Crit Chance:"
"DOTA_Tooltip_Ability_wolf_critical_strike_crit_damage"    "Crit Damage:"
"DOTA_Tooltip_Ability_wolf_critical_strike_Description"    "Has a chance to do a critical attack."
"DOTA_Tooltip_Ability_polar_bear_cleave"                "Cleave"
"DOTA_Tooltip_Ability_polar_bear_cleave_cleave_damage"  "%Damage"
"DOTA_Tooltip_Ability_polar_bear_cleave_Description"    "Attacks hit enemies behind the target."
"DOTA_Tooltip_Ability_magnataur_stomp"                "Stomp"
"DOTA_Tooltip_Ability_magnataur_stomp_damage"         "Damage:"
"DOTA_Tooltip_Ability_magnataur_stomp_Description"    "Stomps the ground, stunning enemies in %radius% range for %duration% seconds and deals damage."
"DOTA_Tooltip_Ability_hrimthrusa_frost_attack"                "Frost Attack"
"DOTA_Tooltip_Ability_hrimthrusa_frost_attack_chance"         "Freeze Chance:"
"DOTA_Tooltip_Ability_hrimthrusa_frost_attack_duration"       "Duration:"
"DOTA_Tooltip_Ability_hrimthrusa_frost_attack_dps"            "DPS:"
"DOTA_Tooltip_Ability_hrimthrusa_frost_attack_Description"    "Has a chance to freeze an enemy ground unit or building on each attack."
"DOTA_Tooltip_Ability_ice_troll_frost_attack"                "Frost Attack"
"DOTA_Tooltip_Ability_ice_troll_frost_attack_chance"         "Freeze Chance:"
"DOTA_Tooltip_Ability_ice_troll_frost_attack_duration"       "Duration:"
"DOTA_Tooltip_Ability_ice_troll_frost_attack_dps"            "DPS:"
"DOTA_Tooltip_Ability_ice_troll_frost_attack_Description"    "Has a chance to freeze an enemy ground unit or building on each attack."
"DOTA_Tooltip_Ability_ice_queen_frost_attack"                "Frost Attack"
"DOTA_Tooltip_Ability_ice_queen_frost_attack_chance"         "Freeze Chance:"
"DOTA_Tooltip_Ability_ice_queen_frost_attack_duration"       "Duration:"
"DOTA_Tooltip_Ability_ice_queen_frost_attack_dps"            "DPS:"
"DOTA_Tooltip_Ability_ice_queen_frost_attack_Description"    "Has a chance to freeze an enemy ground unit or building on each attack."
"DOTA_Tooltip_Ability_ice_troll_frost_armor"                "Frost Armor"
"DOTA_Tooltip_Ability_ice_troll_frost_armor_armor"          "Armor:"
"DOTA_Tooltip_Ability_ice_troll_frost_armor_armor_duration"  "Duration:"
"DOTA_Tooltip_Ability_ice_troll_frost_armor_move_slow"      "%Slow:"
"DOTA_Tooltip_Ability_ice_troll_frost_armor_Description"    "Imbues the target with icy armor, shielding them from attacks and slowing enemies that try to attack them."
"DOTA_Tooltip_Ability_wendigo_pulverize"                "Wendigo Pulverize"
"DOTA_Tooltip_Ability_wendigo_pulverize_chance"         "Chance:"
"DOTA_Tooltip_Ability_wendigo_pulverize_close_damage"   "Damage:"
"DOTA_Tooltip_Ability_wendigo_pulverize_Description"    "Has a chance on attack to slam the ground, dealing damage to all nearby enemies. Deals half damage to further enemies."
"DOTA_Tooltip_Ability_wendigo_howl"                "Howl"
"DOTA_Tooltip_Ability_wendigo_howl_armor"          "Armor Reduction:"
"DOTA_Tooltip_Ability_wendigo_howl_damage_decrease"  "%Damage Decrease:"
"DOTA_Tooltip_Ability_wendigo_howl_Description"    "The Wendigo lets out a fearsome roar, terrifying nearby enemies, decreasing their armor and lowering their damage."
"DOTA_Tooltip_Ability_ice_queen_frost_nova"                "Frost Nova"
"DOTA_Tooltip_Ability_ice_queen_frost_nova_damage"         "Primary Damage:"
"DOTA_Tooltip_Ability_ice_queen_frost_nova_aoe_damage"     "Area Damage:"
"DOTA_Tooltip_Ability_ice_queen_frost_nova_radius"         "Radius:"
"DOTA_Tooltip_Ability_ice_queen_frost_nova_slow"           "Slow:"
"DOTA_Tooltip_Ability_ice_queen_frost_nova_Description"    "Blasts the target enemy unit with damaging frost, dealing area damage and slowing movement and attack rates for %duration% seconds. The primary target takes the most damage."
"DOTA_Tooltip_Ability_ice_queen_crystal_aura"                "Crystal Aura"
"DOTA_Tooltip_Ability_ice_queen_crystal_aura_mana_per_second"    "Mana Regen:"
"DOTA_Tooltip_Ability_ice_queen_crystal_aura_Description"    "Increases the base mana regen of nearby allies."

"DOTA_Tooltip_modifier_wendigo_howl"               "Howl"
"DOTA_Tooltip_modifier_wendigo_howl_Description"   "Armor and Damage lowered"
"DOTA_Tooltip_modifier_ice_queen_frost_nova"               "Frost Nova Slow"
"DOTA_Tooltip_modifier_ice_queen_frost_nova_Description"   "Slowed by Frost Novav"
"DOTA_Tooltip_modifier_frost_bolt_freeze"               "Frozen"
"DOTA_Tooltip_modifier_frost_bolt_freeze_Description"   "Cooldowns are frozen, silenced, rooted, mana regen reduced by 1."
"DOTA_Tooltip_modifier_frost_attack"               "Frost Attack"
"DOTA_Tooltip_modifier_frost_attack_Description"   "Has a chance to freeze ground units/buildings on attack."
"DOTA_Tooltip_modifier_frost_attack_freeze"               "Frozen"
"DOTA_Tooltip_modifier_frost_attack_freeze_Description"   "Rooted and taking %dps% damage over time."
"DOTA_Tooltip_modifier_ice_troll_frost_armor"               "Frost Armor"
"DOTA_Tooltip_modifier_ice_troll_frost_armor_Description"   "Armor increased, and enemies that attack this unit are slowed."
"DOTA_Tooltip_modifier_ice_troll_frost_armor_debuff"               "Frost Armor Slow"
"DOTA_Tooltip_modifier_ice_troll_frost_armor_debuff_Description"   "Slowed from attacking a unit with frost armor."
"DOTA_Tooltip_modifier_freezing_blast"               "Freezing Blast Stun"
"DOTA_Tooltip_modifier_freezing_blast_Description"   "Stunned"
"DOTA_Tooltip_modifier_ice_queen_crystal_aura"               "Crystal Aura"
"DOTA_Tooltip_modifier_ice_queen_crystal_aura_Description"   "Increasing nearby allies' mana regen."
"DOTA_Tooltip_modifier_ice_queen_crystal_aura_buff"               "Crystal Aura Mana Regen"
"DOTA_Tooltip_modifier_ice_queen_crystal_aura_buff_Description"   "Mana Regen increased by %mana_per_second%"
"DOTA_Tooltip_modifier_north_chilling_attack"               "Chilling Attack"
"DOTA_Tooltip_modifier_north_chilling_attack_Description"   "Units that are attacked are chilled."
"DOTA_Tooltip_modifier_north_chilling_attack_debuff"               "Chilled"
"DOTA_Tooltip_modifier_north_chilling_attack_debuff_Description"   "Slowed by Chilling Attack"
"DOTA_Tooltip_modifier_azure_drake_attack"               "Azure Drake Attack"
"DOTA_Tooltip_modifier_azure_drake_attack_Description"   "This modifier is supposed to be hidden."

//////////////////////
// Orcs
//////////////////////


"fighters_hall"   "Fighters Hall"
"advanced_fighters_hall"   "Advanced Fighters Hall"
"superior_fighters_hall"   "Superior Fighters Hall"
"shamanic_tent"   "Shamanic Tent"
"troll_hut"   "Troll Hut"
"trappers_hut"   "Trappers Hut"
"falcon_clan_encampment"   "Falcon Clan Encampment"
"kodo_farm"   "Kodo Farm"
"offensive_kodo_farm"   "Offensive Kodo Farm"
"defensive_kodo_farm"   "Defensive Kodo Farm"
"spellbreaker_kodo_farm"   "Spellbreaker Kodo Farm"
"orcish_siege_factory"   "Orcish Siege Factory"
"serpent_rock"   "Serpent Rock"
"ceremonial_totem"   "Ceremonial Totem"
"anti_air_tower"   "Anti Air Tower"
"stasis_totem"   "Stasis Totem"

"grunt"   "Grunt"
"veteran_grunt"   "Veteran Grunt"
"axemaster"   "Axemaster"
"shaman"   "Shaman"
"troll"   "Troll"
"troll_trapper"   "Troll Trapper"
"wyvern_rider"    "Wyvern Rider"
"kodo"   "Kodo"
"offensive_kodo"      "Offensive Kodo"
"defensive_kodo"      "Defensive Kodo"
"spellbreaker_kodo"   "Spellbreaker Kodo"
"catapult"   "Catapult"


"DOTA_Tooltip_Ability_build_fighters_hall"                "Build Fighters Hall"
"DOTA_Tooltip_Ability_build_fighters_hall_Lore"           "Upgrades: 2"
"DOTA_Tooltip_Ability_build_fighters_hall_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Grunt</h1>Attack: Normal (melee)<br>Armor: Heavy"
"DOTA_Tooltip_Ability_train_grunt"                "Train Grunt"
"DOTA_Tooltip_Ability_train_grunt_Description"    "<h1>Grunt</h1>Attack: Normal (melee)<br>Armor: Heavy"

"DOTA_Tooltip_Ability_upgrade_advanced_fighters_hall"                "Upgrade Advanced Fighters Hall"
"DOTA_Tooltip_Ability_upgrade_advanced_fighters_hall_Lore"                "Upgrades: 1"
"DOTA_Tooltip_Ability_upgrade_advanced_fighters_hall_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Veteran Grunt</h1>Attack: Normal (melee)<br>Armor: Heavy\n\n<h1>Abilities</h1>- Critical Strike (25%%, x2)"
"DOTA_Tooltip_Ability_train_veteran_grunt"                "Train Veteran Grunt"
"DOTA_Tooltip_Ability_train_veteran_grunt_Description"    "<h1>Veteran Grunt</h1>Attack: Normal (melee)<br>Armor: Heavy\n\n<h1>Abilities</h1>- Critical Strike (25%%, x2)"

"DOTA_Tooltip_Ability_upgrade_superior_fighters_hall"                "Upgrade Superior Fighters Hall"
"DOTA_Tooltip_Ability_upgrade_superior_fighters_hall_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Axemaster</h1>Attack: Normal (melee)<br>Armor: Heavy\n\n<h1>Abilities</h1>- Critical Strike (30%%, x3)<br>- Pulverize (35%%, 130 dmg)"
"DOTA_Tooltip_Ability_train_axemaster"                "Train Axemaster"
"DOTA_Tooltip_Ability_train_axemaster_Description"    "<h1>Axemaster</h1>Attack: Normal (melee)<br>Armor: Heavy\n\n<h1>Abilities</h1>- Critical Strike (30%%, x3)<br>- Pulverize (35%%, 130 dmg)"

"DOTA_Tooltip_Ability_build_shamanic_tent"                "Build Shamanic Tent"
"DOTA_Tooltip_Ability_build_shamanic_tent_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Shaman</h1>Attack: Magic (350 range)<br>Armor: Unarmored\n\n<h1>Abilities</h1>- Shaman Buff (+4 armor, +33%% dmg, +3hp/sec)"
"DOTA_Tooltip_Ability_train_shaman"                "Train Shaman"
"DOTA_Tooltip_Ability_train_shaman_Description"    "<h1>Shaman</h1>Attack: Magic (350 range)<br>Armor: Unarmored\n\n<h1>Abilities</h1>- Shaman Buff (+4 armor, +33%% dmg, +3hp/sec)"

"DOTA_Tooltip_Ability_build_troll_hut"                "Build Troll Hut"
"DOTA_Tooltip_Ability_build_troll_hut_Lore"           "Upgrades: 1"
"DOTA_Tooltip_Ability_build_troll_hut_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Troll</h1>Attack: Normal (300 range)<br>Armor: Medium\n\n<h1>Abilities</h1>- Berserk (+200%%)"
"DOTA_Tooltip_Ability_train_troll"                "Train Troll"
"DOTA_Tooltip_Ability_train_troll_Description"    "<h1>Troll</h1>Attack: Normal (300 range)<br>Armor: Medium\n\n<h1>Abilities</h1>- Berserk (+200%%)"

"DOTA_Tooltip_Ability_upgrade_trappers_hut"                "Upgrade Trappers Hut"
"DOTA_Tooltip_Ability_upgrade_trappers_hut_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Troll Trapper</h1>Attack: Normal (300 range)<br>Armor: Medium\n\n<h1>Abilities</h1>- Berserk (+200%%)<br>- Ensnare"
"DOTA_Tooltip_Ability_train_troll_trapper"                "Train Troll Trapper"
"DOTA_Tooltip_Ability_train_troll_trapper_Description"    "<h1>Troll Trapper</h1>Attack: Normal (300 range)<br>Armor: Medium\n\n<h1>Abilities</h1>- Berserk (+200%%)<br>- Ensnare"

"DOTA_Tooltip_Ability_build_falcon_clan_encampment"                "Build Falcon Clan Encampment"
"DOTA_Tooltip_Ability_build_falcon_clan_encampment_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Wyvern Rider</h1>Attack: Pierce (400 range)<br>Armor: Unarmored\n\n<h1>Abilities</h1>- Minor Poison Attack (20% slow)<br>- Flying"
"DOTA_Tooltip_Ability_train_wyvern_rider"                "Train Wyvern Rider"
"DOTA_Tooltip_Ability_train_wyvern_rider_Description"    "<h1>Wyvern Rider</h1>Attack: Pierce (400 range)<br>Armor: Unarmored\n\n<h1>Abilities</h1>- Minor Poison Attack (20% slow)<br>- Flying"

"DOTA_Tooltip_Ability_build_kodo_farm"                "Build Kodo Farm"
"DOTA_Tooltip_Ability_build_kodo_farm_Lore"           "Upgrades: 3"
"DOTA_Tooltip_Ability_build_kodo_farm_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Kodo</h1>Attack: Pierce (melee)<br>Armor: Light"
"DOTA_Tooltip_Ability_train_kodo"                "Train Kodo"
"DOTA_Tooltip_Ability_train_kodo_Description"    "<h1>Kodo</h1>Attack: Pierce (melee)<br>Armor: Light"

"DOTA_Tooltip_Ability_upgrade_offensive_kodo_farm"                "Upgrade Offensive Kodo Farm"
"DOTA_Tooltip_Ability_upgrade_offensive_kodo_farm_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Offensive Kodo</h1>Attack: Pierce (200 range)<br>Armor: Light\n\n<h1>Abilities</h1>- Damage Aura (30%%)"
"DOTA_Tooltip_Ability_train_offensive_kodo"                "Train Offensive Kodo"
"DOTA_Tooltip_Ability_train_offensive_kodo_Description"    "<h1>Offensive Kodo</h1>Attack: Pierce (200 range)<br>Armor: Light\n\n<h1>Abilities</h1>- Damage Aura (+30%%)"

"DOTA_Tooltip_Ability_upgrade_defensive_kodo_farm"                "Upgrade Defensive Kodo Farm"
"DOTA_Tooltip_Ability_upgrade_defensive_kodo_farm_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Defensive Kodo</h1>Attack: Pierce (200 range)<br>Armor: Light\n\n<h1>Abilities</h1>- Armor Aura (+4)"
"DOTA_Tooltip_Ability_train_defensive_kodo"                "Train Defensive Kodo"
"DOTA_Tooltip_Ability_train_defensive_kodo_Description"    "<h1>Defensive Kodo</h1>Attack: Pierce (200 range)<br>Armor: Light\n\n<h1>Abilities</h1>- Armor Aura (+4)"

"DOTA_Tooltip_Ability_upgrade_spellbreaker_kodo_farm"                "Upgrade Spellbreaker Kodo Farm"
"DOTA_Tooltip_Ability_upgrade_spellbreaker_kodo_farm_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Spellbreaker Kodo</h1>Attack: Pierce (200 range)<br>Armor: Light\n\n<h1>Abilities</h1>- Magic Resist Aura (30%%)"
"DOTA_Tooltip_Ability_train_spellbreaker_kodo"                "Train Spellbreaker Kodo"
"DOTA_Tooltip_Ability_train_spellbreaker_kodo_Description"    "<h1>Spellbreaker Kodo</h1>Attack: Pierce (200 range)<br>Armor: Light\n\n<h1>Abilities</h1>- Magic Resist Aura (30%%)"

"DOTA_Tooltip_Ability_build_orcish_siege_factory"                "Build Orcish Siege Factory"
"DOTA_Tooltip_Ability_build_orcish_siege_factory_Description"    "<font color='#995a0a'>Siege Trainer</font>\n<h1>Catapult</h1>Attack: Siege (1000 range)<br>Armor: Medium\n\n<h1>Abilities</h1>- Burning Ammo (48dps)<br>- <font color='#C40000'>Can't attack air</font>"
"DOTA_Tooltip_Ability_train_catapult"                "Train Catapult"
"DOTA_Tooltip_Ability_train_catapult_Description"    "<h1>Catapult</h1>Attack: Siege (1000 range)<br>Armor: Medium\n\n<h1>Abilities</h1>- Burning Ammo (48dps)<br>- <font color='#C40000'>Can't attack air</font>"


"DOTA_Tooltip_Ability_item_build_serpent_rock"                "Build Serpent Rock"
"DOTA_Tooltip_Ability_item_build_serpent_rock_Description"    "<font color='#C40000'>Killing Building</font>\nAbility: Poison Area\nSpits poison onto an area near a random enemy unit. All units that get hit by the poison get their armor reduced by 5, their attack and move speed reduced by 20%, and take damage over time. The poison lasts 5 seconds and deals 30 dps."

"DOTA_Tooltip_Ability_item_build_ceremonial_totem"                "Build Ceremonial Totem"
"DOTA_Tooltip_Ability_item_build_ceremonial_totem_Description"    "<font color='#FFBF00'>Support Building</font>\nAbility: Tribal Blessing\nGives a random ally permanent +30 damage, +20 attack speed and 3 armor with a maximum of 3 stacks. Also gives one of the following\n- Demolish (x1.5)<br>- Critical Strike (25%%, x2)<br>- Evasion (30%%)"

"DOTA_Tooltip_Ability_item_build_anti_air_tower"                "Build Anti Air Tower"
"DOTA_Tooltip_Ability_item_build_anti_air_tower_Description"    "<font color='#a3098c'>Tower</font>\nvs Air: Normal, (900 range), DPS 175 (60-80\nvs Ground: Normal, (700 range), DPS 37 (20-25)\n- Poisoned Arrows (25% slow)"

"DOTA_Tooltip_Ability_item_build_stasis_totem"                "Build Stasis Totem"
"DOTA_Tooltip_Ability_item_build_stasis_totem_Description"    "<font color='#FFBF00'>Support Building</font>\nAbility: Global Stasis\nStuns all enemy units for 4.5 seconds"


// Abilities

"DOTA_Tooltip_Ability_grunt_critical_strike"               "Critical Strike"
"DOTA_Tooltip_Ability_grunt_critical_strike_crit_chance"   "%Crit Chance:"
"DOTA_Tooltip_Ability_grunt_critical_strike_crit_damage"   "Crit Damage:"
"DOTA_Tooltip_Ability_grunt_critical_strike_Description"   "Has a chance to do a critical attack."
"DOTA_Tooltip_Ability_grunt_pulverize"               "Pulverize"
"DOTA_Tooltip_Ability_grunt_pulverize_chance"        "%Chance:"
"DOTA_Tooltip_Ability_grunt_pulverize_close_damage"  "Damage:"
"DOTA_Tooltip_Ability_grunt_pulverize_Description"   "Attacks have a chance to damage nearby enemies."
"DOTA_Tooltip_Ability_shaman_buff"               "Shaman Buff"
"DOTA_Tooltip_Ability_shaman_buff_armor"               "Armor:"
"DOTA_Tooltip_Ability_shaman_buff_damage_increase"     "Damage:"
"DOTA_Tooltip_Ability_shaman_buff_health_per_second"   "Health Regen:"
"DOTA_Tooltip_Ability_shaman_buff_duration"            "Duration:"
"DOTA_Tooltip_Ability_shaman_buff_Description"   "Buffs an ally, granting them increased damage, armor and health regen."
"DOTA_Tooltip_Ability_troll_berserk"                 "Berserk"
"DOTA_Tooltip_Ability_troll_berserk_attack_speed"    "%Attack Speed:"
"DOTA_Tooltip_Ability_troll_berserk_move_speed"      "%Move Speed:"
"DOTA_Tooltip_Ability_troll_berserk_damage_increase"  "%Damage Taken:"
"DOTA_Tooltip_Ability_troll_berserk_duration"      "Duration:"
"DOTA_Tooltip_Ability_troll_berserk_Description"   "Upon killing a unit, the troll goes on a rampage, gaining attack and move speed, but taking extra damage."
"DOTA_Tooltip_Ability_troll_ensnare"               "Ensnare"
"DOTA_Tooltip_Ability_troll_ensnare_duration"      "Duration"
"DOTA_Tooltip_Ability_troll_ensnare_Description"   "Tosses a web at a nearby flying enemy, dragging them to the ground, immobilizing them and allowing ground units to hit them."
"DOTA_Tooltip_Ability_wyvern_minor_poison_attack"               "Minor Poison Attack"
"DOTA_Tooltip_Ability_wyvern_minor_poison_attack_attack_slow"   "%Attack Slow:"
"DOTA_Tooltip_Ability_wyvern_minor_poison_attack_move_slow"     "%Move Slow:"
"DOTA_Tooltip_Ability_wyvern_minor_poison_attack_dps"    "DPS:"
"DOTA_Tooltip_Ability_wyvern_minor_poison_attack_duration"    "Duration:"
"DOTA_Tooltip_Ability_wyvern_minor_poison_attack_Description"   "Attacks poison the enemy (a little), slowing them and dealing damage over time."
"DOTA_Tooltip_Ability_kodo_melee_damage_aura"               "Damage Aura"
"DOTA_Tooltip_Ability_kodo_melee_damage_aura_Description"   "Increases the damage of all allied units in range by %damage%%%."
"DOTA_Tooltip_Ability_kodo_armor_aura"               "Armor Aura"
"DOTA_Tooltip_Ability_kodo_armor_aura_Description"   "Increases the armor of all allied units in range by %armor%."
"DOTA_Tooltip_Ability_kodo_magic_resist_aura"               "Magic Resistance Aura"
"DOTA_Tooltip_Ability_kodo_magic_resist_aura_Description"   "Increases the magic resistance of nearby allies in range by %magic_resistance%%%."
"DOTA_Tooltip_Ability_catapult_burning_ammo"               "Burning Ammo"
"DOTA_Tooltip_Ability_catapult_burning_ammo_dps"           "DPS:"
"DOTA_Tooltip_Ability_catapult_burning_ammo_duration"      "Duration:"
"DOTA_Tooltip_Ability_catapult_burning_ammo_Description"   "Attacks burn the ground around the impact, damaging enemies caught in the flames."
"DOTA_Tooltip_Ability_tower_poisoned_arrows"               "Poisoned Arrows"
"DOTA_Tooltip_Ability_tower_poisoned_arrows_attack_slow"   "%Attack Slow:"
"DOTA_Tooltip_Ability_tower_poisoned_arrows_move_slow"     "%Move Slow:"
"DOTA_Tooltip_Ability_tower_poisoned_arrows_dps"           "DPS:"
"DOTA_Tooltip_Ability_tower_poisoned_arrows_duration"      "Duration:"
"DOTA_Tooltip_Ability_tower_poisoned_arrows_Description"   "Attacks poison enemies, dealing damage and slowing them."
"DOTA_Tooltip_Ability_global_stasis"               "Global Stasis"
"DOTA_Tooltip_Ability_global_stasis_Description"   "Stuns all enemy units for %duration% seconds."
"DOTA_Tooltip_Ability_tribal_blessing"               "Tribal Blessing"
"DOTA_Tooltip_Ability_tribal_blessing_Description"   "Gives a random ally permanent +%damage_increase% damage, +%attack_speed% attack speed and +%armor% armor with a maximum of %max_stacks% stacks. Also gives them one of the following\n- Demolish (x1.5)<br>- Critical Strike (25%%, x2)<br>- Evasion (30%%)"
"DOTA_Tooltip_Ability_tribal_blessing_critical_strike"               "Critical Strike"
"DOTA_Tooltip_Ability_tribal_blessing_critical_strike_crit_chance"   "%Crit Chance:"
"DOTA_Tooltip_Ability_tribal_blessing_critical_strike_crit_damage"   "%Crit Damage:"
"DOTA_Tooltip_Ability_tribal_blessing_critical_strike_Description"   "Has a chance to do a critical hit."
"DOTA_Tooltip_Ability_tribal_blessing_evasion"               "Evasion"
"DOTA_Tooltip_Ability_tribal_blessing_evasion_evasion"       "%Evasion:"
"DOTA_Tooltip_Ability_tribal_blessing_evasion_Description"   "Has a chance to evade attacks."
"DOTA_Tooltip_Ability_tribal_blessing_demolish"               "Demolish"
"DOTA_Tooltip_Ability_tribal_blessing_demolish_damage_pct"    "%Damage:"
